V1,V2,V3
2.36842105263158,44.4923076923077,451
2.53588516746412,44.4923076923077,434
2.70334928229665,44.4923076923077,531
2.87081339712919,44.4923076923077,540
3.03827751196172,44.4923076923077,739
3.20574162679426,44.4923076923077,825
3.37320574162679,44.4923076923077,796
3.54066985645933,44.4923076923077,886
3.70813397129187,44.4923076923077,1267
3.8755980861244,44.4923076923077,1216
4.04306220095694,44.4923076923077,805
4.21052631578947,44.4923076923077,573
4.37799043062201,44.4923076923077,194
4.54545454545455,44.4923076923077,320
4.71291866028708,44.4923076923077,243
4.88038277511962,44.4923076923077,130
5.04784688995215,44.4923076923077,420
5.21531100478469,44.4923076923077,738
5.38277511961723,44.4923076923077,824
5.55023923444976,44.4923076923077,886
5.7177033492823,44.4923076923077,994
5.88516746411483,44.4923076923077,967
6.05263157894737,44.4923076923077,1129
6.22009569377991,44.4923076923077,861
6.38755980861244,44.4923076923077,1104
6.55502392344498,44.4923076923077,1617
6.72248803827751,44.4923076923077,2192
6.88995215311005,44.4923076923077,1972
7.05741626794259,44.4923076923077,2027
7.22488038277512,44.4923076923077,1659
7.39234449760766,44.4923076923077,1194
7.55980861244019,44.4923076923077,713
7.72727272727273,44.4923076923077,403
7.89473684210526,44.4923076923077,382
8.0622009569378,44.4923076923077,426
8.22966507177034,44.4923076923077,620
8.39712918660287,44.4923076923077,423
8.56459330143541,44.4923076923077,537
8.73205741626794,44.4923076923077,745
8.89952153110048,44.4923076923077,459
9.06698564593302,44.4923076923077,430
9.23444976076555,44.4923076923077,657
9.40191387559809,44.4923076923077,819
9.56937799043062,44.4923076923077,924
9.73684210526316,44.4923076923077,703
9.90430622009569,44.4923076923077,763
10.0717703349282,44.4923076923077,856
10.2392344497608,44.4923076923077,967
10.4066985645933,44.4923076923077,578
10.5741626794258,44.4923076923077,588
10.7416267942584,44.4923076923077,428
10.9090909090909,44.4923076923077,381
11.0765550239234,44.4923076923077,182
11.244019138756,44.4923076923077,153
11.4114832535885,44.4923076923077,129
11.5789473684211,44.4923076923077,89
11.7464114832536,44.4923076923077,19
11.9138755980861,44.4923076923077,8
12.0813397129187,44.4923076923077,5
12.2488038277512,44.4923076923077,-3
12.4162679425837,44.4923076923077,-6
12.5837320574163,44.4923076923077,-19
12.7511961722488,44.4923076923077,-28
12.9186602870813,44.4923076923077,-36
13.0861244019139,44.4923076923077,-40
13.2535885167464,44.4923076923077,-43
13.4210526315789,44.4923076923077,-46
13.5885167464115,44.4923076923077,-49
13.755980861244,44.4923076923077,-45
13.9234449760766,44.4923076923077,-46
14.0909090909091,44.4923076923077,-49
14.2583732057416,44.4923076923077,-54
14.4258373205742,44.4923076923077,-40
14.5933014354067,44.4923076923077,-4
14.7607655502392,44.4923076923077,-5
14.9282296650718,44.4923076923077,-6
15.0956937799043,44.4923076923077,44
15.2631578947368,44.4923076923077,342
15.4306220095694,44.4923076923077,827
15.5980861244019,44.4923076923077,727
15.7655502392345,44.4923076923077,732
15.933014354067,44.4923076923077,864
16.1004784688995,44.4923076923077,957
16.2679425837321,44.4923076923077,685
16.4354066985646,44.4923076923077,945
16.6028708133971,44.4923076923077,1088
16.7703349282297,44.4923076923077,985
16.9377990430622,44.4923076923077,801
17.1052631578947,44.4923076923077,864
17.2727272727273,44.4923076923077,602
17.4401913875598,44.4923076923077,864
17.6076555023923,44.4923076923077,880
17.7751196172249,44.4923076923077,886
17.9425837320574,44.4923076923077,582
18.11004784689,44.4923076923077,591
18.2775119617225,44.4923076923077,307
18.444976076555,44.4923076923077,415
18.6124401913876,44.4923076923077,302
18.7799043062201,44.4923076923077,251
18.9473684210526,44.4923076923077,287
19.1148325358852,44.4923076923077,370
19.2822966507177,44.4923076923077,234
19.4497607655502,44.4923076923077,324
19.6172248803828,44.4923076923077,251
19.7846889952153,44.4923076923077,241
19.9521531100478,44.4923076923077,204
20.1196172248804,44.4923076923077,140
20.2870813397129,44.4923076923077,114
20.4545454545455,44.4923076923077,130
20.622009569378,44.4923076923077,203
20.7894736842105,44.4923076923077,230
20.9569377990431,44.4923076923077,219
21.1244019138756,44.4923076923077,136
21.2918660287081,44.4923076923077,83
21.4593301435407,44.4923076923077,147
21.6267942583732,44.4923076923077,193
21.7942583732057,44.4923076923077,283
21.9617224880383,44.4923076923077,375
22.1291866028708,44.4923076923077,509
22.2966507177034,44.4923076923077,347
22.4641148325359,44.4923076923077,336
22.6315789473684,44.4923076923077,112
22.799043062201,44.4923076923077,81
22.9665071770335,44.4923076923077,95
23.133971291866,44.4923076923077,252
23.3014354066986,44.4923076923077,277
23.4688995215311,44.4923076923077,243
23.6363636363636,44.4923076923077,200
23.8038277511962,44.4923076923077,154
23.9712918660287,44.4923076923077,196
24.1387559808612,44.4923076923077,204
24.3062200956938,44.4923076923077,184
24.4736842105263,44.4923076923077,147
24.6411483253589,44.4923076923077,199
24.8086124401914,44.4923076923077,195
24.9760765550239,44.4923076923077,175
25.1435406698565,44.4923076923077,173
25.311004784689,44.4923076923077,163
25.4784688995215,44.4923076923077,151
25.6459330143541,44.4923076923077,139
25.8133971291866,44.4923076923077,118
25.9808612440191,44.4923076923077,105
26.1483253588517,44.4923076923077,95
26.3157894736842,44.4923076923077,87
26.4832535885167,44.4923076923077,73
26.6507177033493,44.4923076923077,64
