especes;LON;LAT
Pteroplatytrygon violacea ;3.33055;42.79833
Pteroplatytrygon violacea ;3.189722;42.73149
Pteroplatytrygon violacea ;3.275555;42.87556
Pteroplatytrygon violacea ;3.323333;42.7375
Pteroplatytrygon violacea ;3.33055;42.79833
Mobula mobular;6.003551809;42.67559897
Mobula mobular;5.526434602;42.92051072
Mobula mobular;7.705647368;43.48033304
Prionace glauca;7.534956448;43.21943218
Mobula mobular;6.662627645;42.91774519
Raies ;9.2291983;41.3749735
Mobula mobular;6.281791683;42.68476655
Mobula mobular;7.130545964;43.31218377
Mobula mobular;6.918452885;43.07079954
Mobula mobular;6.860821769;43.10119199
Mobula mobular;6.824458726;43.11708785
Raies ;6.821505195;43.11764021
Mobula mobular;7.101830821;42.91009981
Raies ;7.018981408;42.84393985
Mobula mobular;6.741137914;42.62711988
Raies ;2.316952908;39.5660178
Mobula mobular;5.989499297;42.89614867
Requins;7.17585979;43.17938697
Mobula mobular;6.343504367;42.95651032
Mobula mobular;6.465702374;42.29615868
Mobula mobular;7.597464323;43.37988398
Mobula mobular;7.537062652;43.37152148
Mobula mobular;7.172569223;43.52493214
Mobula mobular;6.525389655;42.98707346
Mobula mobular;6.762590641;42.90886989
Mobula mobular;6.761095226;42.90831216
Mobula mobular;6.763710715;42.90484787
Raies ;7.269070242;43.06625885
Mobula mobular;7.32215669;43.0840546
Mobula mobular;7.345963139;43.0968562
Requins;7.841080399;43.20805258
Requins;7.877886677;43.22717664
Mobula mobular;7.723333333;43.59166667
Mobula mobular;6.300382409;42.87069485
Raies ;6.274788938;42.78078758
Raies ;6.269825008;42.75779107
Raies ;6.26781662;42.75076687
Raies ;6.26659085;42.74653975
Mobula mobular;6.259736633;42.69173556
Raies ;6.277709026;42.6899521
Raies ;6.488406518;42.53125044
Mobula mobular;6.50865485;42.52664488
Raies ;6.521334825;42.51104632
Mobula mobular;6.52773357;42.50933034
Mobula mobular;6.54631298;42.5044646
Mobula mobular;6.554759843;42.5058231
Mobula mobular;7.947561247;43.29276814
Mobula mobular;7.591978032;43.23972469
Myliobatis aquila;7.545265937;43.23154412
Mobula mobular;7.517635915;43.22222197
Mobula mobular;7.191111111;43.35194444
Raies ;6.351877134;42.65342527
Raies ;6.657559946;42.5323672
Mobula mobular;6.616804032;42.57373433
Mobula mobular;6.550512565;42.59743516
Mobula mobular;7.043730821;43.2820243
Myliobatis aquila;3.149600029;43.1374299
Mobula mobular;5.961810312;42.85667292
Mobula mobular;5.874820369;42.94362364
Raies ;4.42041619;43.44827693
Raies ;6.503080716;43.00967895
Mobula mobular;7.233066782;43.04758607
Mobula mobular;7.261014059;43.05251723
Mobula mobular;7.428639047;43.7226942
Raies ;7.232361445;43.12152854
Mobula mobular;7.236388889;43.55916667
Mobula mobular;8.440895625;41.85549401
Mobula mobular;8.478006553;41.90437607
Mobula mobular;8.373402245;42.61385984
Mobula mobular;8.397571463;42.20558052
Mobula mobular;8.494623871;42.22275352
Mobula mobular;5.40492232;42.46448766
Mobula mobular;8.340208747;42.25777154
Mobula mobular;8.307766504;42.12563499
Mobula mobular;8.259521368;42.07484733
Mobula mobular;8.3141244;42.2240927
Mobula mobular;8.426338983;41.92299059
Mobula mobular;8.496196121;41.89401801
Mobula mobular;8.331398097;41.64811991
Mobula mobular;8.779194147;41.56318536
Mobula mobular;8.270189669;41.62665844
Mobula mobular;7.9766872;41.7292927
Mobula mobular;8.053453532;41.60313873
Mobula mobular;6.761146439;42.64951377
Mobula mobular;6.761146439;42.64951377
Mobula mobular;8.3598107;41.95263384
Mobula mobular;7.22932305;42.51559329
Myliobatis aquila;5.37135154;42.4999455
Mobula mobular;3.591894787;42.45232267
Raies ;3.6996951;43.3965667
Raies ;72.96778534;5.5343185
Raies ;5.964085383;42.85917827
Mobula mobular;6.11657205;42.9057605
Mobula mobular;7.256207792;43.06038436
Mobula mobular;7.570336126;43.5367979
Requins;7.233783267;43.16782866
Mobula mobular;6.8317094;43.2054515
Raies ;8.664462794;42.53427234
Raies ;8.602709097;42.34048177
Mobula mobular;6.135463854;42.73927247
Mobula mobular;6.650019251;42.56794997
Mobula mobular;6.8677158;42.9189529
Mobula mobular;6.823537722;43.06043737
Mobula mobular;6.694785403;42.99158125
Mobula mobular;6.060747653;42.80491987
Raies ;4.113301873;43.50996601
Mobula mobular;6.253709374;42.63555132
Raies ;5.4045163;43.01718239
Raies ;4.130945206;43.5235659
Raies ;5.5161407;43.2057696
Raies ;5.6066632;43.1725733
Mobula mobular;8.46632964;41.8454207
Mobula mobular;6.823922955;42.61894987
Mobula mobular;5.956682721;42.40109746
Myliobatis aquila;5.56011728;42.62504959
Raies ;8.505226448;40.86038839
Raies ;8.505226448;40.86038839
Raies ;3.056298167;42.53837711
Raies ;3.5009578;43.2686984
Myliobatis aquila;3.047530794;42.57599227
Raies ;3.15865416;42.46067423
Myliobatis aquila;6.01848174;42.77288032
Mobula mobular;6.22879635;42.84932912
Raies ;3.175;42.178
Raies ;3.114129324;42.52035862
Mobula mobular;7.223677102;43.44871226
Raies ;8.815099038;41.63749428
Mobula mobular;6.9041383;43.1974267
Raies ;7.130526267;43.58725109
Mobula mobular;7.347184047;43.12870827
Myliobatis aquila;6.886351956;43.12447612
Raies ;8.60645167;41.95146494
Myliobatis aquila;48.06249931;-13.37440787
Aetobatus narinari;48.06249931;-13.37440787
Raies ;48.06249931;-13.37440787
Cetorhinus maximus;6.623901576;42.98325052
Mobula mobular;7.397527099;43.29668504
Mobula mobular;8.432381172;41.82784381
Raies ;5.672446433;42.54858267
Raies ;5.779509405;42.47980705
Raies ;5.798257291;42.46656935
Raies ;6.360867564;42.95633225
Raies ;7.699389355;42.21021152
Mobula mobular;7.538863253;42.28646203
Raies ;5.31643616;42.77301001
